id,home_ownership,annual_inc,loan_amnt,term,grade,loan_status
550066,OWN,55308,2000, 36 months,B,Charged Off
550072,RENT,13000,2400, 36 months,E,Fully Paid
550075,MORTGAGE,43500,6250, 60 months,D,Fully Paid
550106,OWN,12000,3000, 36 months,C,Fully Paid
550110,MORTGAGE,50000,18000, 60 months,B,Fully Paid
550117,RENT,115000,4800, 36 months,A,Fully Paid
550122,MORTGAGE,52000,10000, 60 months,C,Charged Off
550134,MORTGAGE,96000,5000, 36 months,A,Fully Paid
550136,MORTGAGE,45000,8000, 36 months,D,Fully Paid
550145,RENT,42996,14000, 36 months,A,Fully Paid
550151,RENT,90000,12000, 36 months,B,Fully Paid
550169,RENT,45600,12000, 36 months,C,Fully Paid
550248,MORTGAGE,87895,2800, 36 months,A,Fully Paid
550253,RENT,30000,2000, 36 months,B,Fully Paid
550257,RENT,51000,6625, 36 months,B,Fully Paid
550259,RENT,26400,6500, 36 months,B,Fully Paid
550273,OWN,60000,12000, 36 months,A,Fully Paid
550284,MORTGAGE,89697,25000, 60 months,E,Fully Paid
550309,MORTGAGE,74000,1000, 36 months,C,Charged Off
550323,RENT,42500,15000, 36 months,A,Fully Paid
550324,MORTGAGE,180000,25000, 60 months,C,Fully Paid
550325,RENT,55404,6500, 36 months,C,Fully Paid
550330,RENT,40200,14500, 60 months,E,Fully Paid
550334,MORTGAGE,96000,4500, 36 months,A,Fully Paid
550341,RENT,120000,10000, 36 months,B,Fully Paid
550366,MORTGAGE,45000,8000, 60 months,B,Charged Off
550387,RENT,37000,6400, 36 months,C,Fully Paid
550415,RENT,66996,25000, 36 months,D,Fully Paid
550423,RENT,16320,6000, 60 months,E,Fully Paid
550427,MORTGAGE,38900,10000, 60 months,C,Fully Paid
550440,MORTGAGE,37620,10750, 60 months,E,Fully Paid
550442,MORTGAGE,39996,3000, 60 months,C,Fully Paid
550444,RENT,38500,8000, 36 months,C,Fully Paid
550446,MORTGAGE,50000,9600, 36 months,A,Fully Paid
550487,RENT,72000,18000, 36 months,A,Fully Paid
550498,RENT,36500,6000, 36 months,C,Fully Paid
550501,RENT,54000,4800, 36 months,C,Fully Paid
550558,MORTGAGE,125000,13200, 36 months,F,Charged Off
550597,MORTGAGE,45000,12000, 36 months,C,Fully Paid
550598,RENT,45000,15000, 60 months,E,Charged Off
550631,MORTGAGE,88936,16800, 60 months,D,Fully Paid
550664,MORTGAGE,66000,6000, 36 months,A,Charged Off
550681,MORTGAGE,36000,15000, 60 months,D,Fully Paid
550691,MORTGAGE,48000,10000, 36 months,A,Fully Paid
550712,RENT,95000,10000, 36 months,A,Fully Paid
550733,RENT,39996,10000, 60 months,E,Fully Paid
550734,RENT,47000,16000, 60 months,B,Fully Paid
550739,MORTGAGE,53877,2700, 36 months,C,Fully Paid
550763,RENT,24724,12000, 60 months,B,Charged Off
550787,MORTGAGE,41000,6250, 36 months,D,Fully Paid
550796,OWN,61000,9000, 60 months,B,Fully Paid
550841,RENT,97850,10000, 36 months,A,Fully Paid
550886,RENT,71004,1800, 36 months,B,Fully Paid
550912,MORTGAGE,75000,16000, 36 months,A,Fully Paid
550944,OWN,8400,4400, 60 months,A,Fully Paid
550954,MORTGAGE,43000,9300, 60 months,B,Fully Paid
550956,RENT,21600,7000, 60 months,F,Charged Off
550977,RENT,99500,20000, 60 months,C,Fully Paid
551025,RENT,28800,7000, 60 months,D,Fully Paid
551063,MORTGAGE,41500,22750, 60 months,C,Fully Paid
551088,RENT,94000,3500, 36 months,B,Fully Paid
551119,MORTGAGE,52000,2275, 36 months,B,Fully Paid
551168,RENT,69132,15000, 60 months,B,Fully Paid
551171,MORTGAGE,29268,5000, 60 months,D,Charged Off
551197,MORTGAGE,140000,6000, 36 months,A,Fully Paid
551217,MORTGAGE,33996,2500, 36 months,A,Charged Off
551223,MORTGAGE,31200,1050, 36 months,A,Charged Off
551231,RENT,40000,5000, 60 months,E,Fully Paid
551232,MORTGAGE,68196,12000, 60 months,C,Fully Paid
551237,RENT,67596,5000, 36 months,B,Fully Paid
551238,MORTGAGE,87500,30000, 60 months,F,Charged Off
551271,RENT,40500,8500, 36 months,A,Fully Paid
551284,MORTGAGE,38500,6500, 36 months,A,Fully Paid
551312,RENT,19000,4000, 36 months,C,Fully Paid
551314,RENT,59200,15000, 36 months,B,Fully Paid
551322,RENT,67032,24000, 60 months,G,Charged Off
551324,MORTGAGE,80100,8000, 36 months,B,Fully Paid
551327,MORTGAGE,120000,20000, 36 months,D,Fully Paid
551331,MORTGAGE,62400,5000, 60 months,B,Charged Off
551367,MORTGAGE,1176000,5600, 60 months,C,Fully Paid
551373,MORTGAGE,42000,4200, 36 months,C,Fully Paid
551378,MORTGAGE,120000,20000, 36 months,B,Fully Paid
551420,RENT,65000,5000, 36 months,D,Fully Paid
551438,RENT,36000,5000, 36 months,B,Fully Paid
551517,MORTGAGE,30000,12000, 36 months,A,Charged Off
551528,OWN,75000,7200, 36 months,C,Fully Paid
551533,MORTGAGE,90200,25000, 60 months,E,Fully Paid
551541,MORTGAGE,90000,17500, 60 months,F,Charged Off
551542,RENT,43500,4500, 36 months,A,Fully Paid
551621,OWN,25000,11500, 36 months,A,Fully Paid
551639,OWN,74256,6000, 60 months,C,Fully Paid
551645,RENT,42432,19000, 36 months,D,Fully Paid
551660,MORTGAGE,60000,15000, 36 months,B,Fully Paid
551664,MORTGAGE,55000,10000, 60 months,B,Fully Paid
551666,MORTGAGE,48000,5000, 60 months,E,Fully Paid
551696,RENT,35000,5000, 60 months,D,Fully Paid
551702,RENT,77000,15000, 36 months,D,Fully Paid
551734,OWN,66996,7000, 36 months,C,Fully Paid
551767,MORTGAGE,65000,14500, 60 months,B,Fully Paid
551795,MORTGAGE,55800,6600, 60 months,A,Fully Paid
551827,MORTGAGE,120000,4000, 36 months,A,Fully Paid
551828,RENT,52000,5000, 36 months,B,Charged Off
551844,MORTGAGE,28800,12000, 36 months,A,Fully Paid
551849,MORTGAGE,140000,12600, 36 months,A,Fully Paid
551883,MORTGAGE,65000,14400, 36 months,A,Fully Paid
551889,RENT,65000,15000, 36 months,E,Fully Paid
551893,RENT,30413,12000, 36 months,B,Fully Paid
551897,MORTGAGE,75000,6500, 60 months,B,Fully Paid
551911,MORTGAGE,65000,4000, 36 months,D,Fully Paid
551924,OWN,84787,11000, 60 months,B,Fully Paid
551948,MORTGAGE,55000,9800, 36 months,A,Fully Paid
551957,RENT,32400,17500, 36 months,D,Fully Paid
551962,MORTGAGE,66000,15000, 60 months,B,Fully Paid
551973,MORTGAGE,34464,6000, 60 months,C,Fully Paid
551974,RENT,70000,10000, 36 months,E,Fully Paid
551982,MORTGAGE,120000,10000, 36 months,A,Fully Paid
551983,MORTGAGE,40296,4000, 60 months,D,Charged Off
551987,MORTGAGE,51000,25000, 36 months,B,Fully Paid
552009,RENT,95000,2400, 36 months,A,Fully Paid
552015,RENT,27000,3000, 60 months,C,Fully Paid
552058,MORTGAGE,62000,10000, 36 months,A,Fully Paid
552060,RENT,85000,6000, 60 months,C,Fully Paid
552080,RENT,42000,13000, 60 months,B,Fully Paid
552110,RENT,23000,6500, 36 months,C,Fully Paid
552116,MORTGAGE,88992,25000, 60 months,C,Charged Off
552131,MORTGAGE,81000,20000, 36 months,B,Fully Paid
552133,RENT,55000,24250, 60 months,C,Fully Paid
552140,RENT,35000,8000, 60 months,D,Fully Paid
552161,MORTGAGE,69996,16075, 60 months,B,Fully Paid
552188,RENT,72000,18000, 36 months,D,Fully Paid
552211,MORTGAGE,31000,6250, 60 months,B,Fully Paid
552237,RENT,150000,5000, 36 months,C,Charged Off
552244,RENT,50000,5000, 36 months,C,Fully Paid
552275,OWN,52000,1000, 36 months,C,Fully Paid
552294,MORTGAGE,48000,6600, 36 months,A,Fully Paid
552295,MORTGAGE,50000,9000, 36 months,A,Fully Paid
552310,MORTGAGE,46996,13750, 36 months,C,Fully Paid
552311,RENT,99996,7000, 60 months,D,Fully Paid
552329,RENT,51000,7500, 36 months,C,Fully Paid
552334,MORTGAGE,135000,10000, 36 months,A,Charged Off
552349,MORTGAGE,115000,9600, 60 months,D,Fully Paid
552360,RENT,48000,15000, 36 months,A,Fully Paid
552369,RENT,99000,5675, 36 months,C,Fully Paid
552400,RENT,41325,6500, 36 months,D,Fully Paid
552402,MORTGAGE,24000,1200, 36 months,D,Fully Paid
552412,RENT,74500,12000, 60 months,B,Fully Paid
552420,MORTGAGE,38700,10000, 60 months,C,Fully Paid
552432,MORTGAGE,85000,2000, 36 months,A,Fully Paid
552441,MORTGAGE,151000,8000, 36 months,B,Fully Paid
552443,RENT,77000,15000, 60 months,E,Charged Off
552448,MORTGAGE,70000,4400, 36 months,A,Fully Paid
552450,MORTGAGE,60000,8000, 36 months,A,Fully Paid
552451,MORTGAGE,55700,21000, 60 months,C,Fully Paid
552453,RENT,39996,6000, 36 months,A,Fully Paid
552454,RENT,62000,10000, 60 months,D,Fully Paid
552460,RENT,54996,4000, 36 months,A,Fully Paid
552468,RENT,81000,3500, 36 months,B,Fully Paid
552469,MORTGAGE,65004,15000, 36 months,A,Fully Paid
552470,MORTGAGE,70000,8000, 36 months,D,Fully Paid
552482,RENT,10800,2000, 36 months,C,Fully Paid
552486,MORTGAGE,62000,6000, 60 months,C,Fully Paid
552497,RENT,32000,10000, 60 months,B,Fully Paid
552510,RENT,51000,17000, 36 months,B,Fully Paid
552525,RENT,48000,15000, 36 months,B,Fully Paid
552526,RENT,63500,4000, 36 months,C,Fully Paid
552542,MORTGAGE,168000,9000, 60 months,A,Fully Paid
552550,RENT,38400,3000, 36 months,E,Fully Paid
552557,RENT,50000,5500, 36 months,A,Fully Paid
552575,MORTGAGE,46000,4000, 36 months,B,Fully Paid
552583,MORTGAGE,51000,17000, 60 months,D,Fully Paid
552630,OWN,68000,20000, 60 months,D,Fully Paid
552639,MORTGAGE,81600,1300, 36 months,A,Fully Paid
552682,MORTGAGE,86000,9250, 36 months,B,Fully Paid
552759,OWN,34188,3200, 36 months,A,Fully Paid
552762,MORTGAGE,69000,14000, 36 months,A,Fully Paid
552772,MORTGAGE,108000,7200, 36 months,C,Fully Paid
552794,RENT,61200,7000, 60 months,C,Fully Paid
552796,RENT,44400,4600, 60 months,B,Fully Paid
552802,RENT,45000,15000, 36 months,E,Fully Paid
552806,RENT,107000,4000, 36 months,C,Fully Paid
552819,MORTGAGE,72500,12000, 36 months,D,Fully Paid
552863,RENT,31000,10000, 60 months,D,Fully Paid
552873,MORTGAGE,72084,12000, 60 months,B,Fully Paid
552875,OWN,32400,7000, 60 months,D,Fully Paid
552885,MORTGAGE,105000,10000, 60 months,B,Fully Paid
552886,MORTGAGE,74880,7500, 60 months,B,Fully Paid
552905,MORTGAGE,140000,9800, 60 months,D,Fully Paid
552910,OWN,60000,5900, 36 months,B,Fully Paid
552933,MORTGAGE,103000,4200, 60 months,E,Fully Paid
552953,RENT,82000,15000, 36 months,C,Fully Paid
552965,RENT,36750,7500, 36 months,D,Fully Paid
552968,RENT,54996,10000, 36 months,A,Fully Paid
552990,RENT,32400,7000, 36 months,B,Fully Paid
552991,MORTGAGE,135000,25000, 60 months,C,Fully Paid
553076,MORTGAGE,89000,8000, 60 months,B,Fully Paid
553077,RENT,46302,16000, 60 months,B,Fully Paid
553090,RENT,65000,12000, 36 months,C,Fully Paid
553094,MORTGAGE,90000,25000, 60 months,C,Fully Paid
553099,RENT,57312,5000, 36 months,B,Fully Paid
553121,RENT,366000,25000, 60 months,G,Fully Paid
553136,RENT,129000,12000, 36 months,E,Fully Paid
553185,RENT,33200,10000, 36 months,B,Fully Paid
553188,RENT,38400,4000, 36 months,D,Charged Off
553204,MORTGAGE,74400,10000, 36 months,D,Fully Paid
553205,RENT,55812,10000, 36 months,A,Fully Paid
553208,RENT,45000,4800, 36 months,A,Fully Paid
553239,RENT,50500,4050, 36 months,A,Fully Paid
553269,RENT,58000,16000, 36 months,A,Fully Paid
553277,RENT,14400,3000, 60 months,F,Fully Paid
553278,MORTGAGE,102000,14400, 36 months,C,Fully Paid
553289,RENT,55784,18500, 36 months,C,Fully Paid
553306,MORTGAGE,61365,25000, 36 months,F,Charged Off
553313,RENT,32400,7000, 36 months,C,Fully Paid
553333,RENT,29120,5400, 36 months,A,Fully Paid
553380,MORTGAGE,51600,10000, 36 months,A,Fully Paid
553401,RENT,24000,7750, 36 months,C,Fully Paid
553429,MORTGAGE,75000,10200, 36 months,C,Fully Paid
553450,RENT,84000,5600, 60 months,C,Fully Paid
553495,RENT,65000,16000, 36 months,A,Fully Paid
553500,RENT,31200,3600, 36 months,A,Fully Paid
553534,MORTGAGE,92004,24250, 36 months,B,Fully Paid
553552,RENT,39996,10800, 36 months,B,Charged Off
553555,MORTGAGE,14400,1500, 36 months,C,Fully Paid
553556,MORTGAGE,75000,17800, 60 months,B,Fully Paid
553569,MORTGAGE,156000,8000, 60 months,D,Fully Paid
553592,MORTGAGE,65000,11000, 36 months,B,Fully Paid
553620,RENT,26400,6000, 60 months,D,Fully Paid
553640,RENT,46000,6000, 36 months,C,Fully Paid
553657,MORTGAGE,144500,22800, 60 months,E,Charged Off
553670,RENT,68000,2500, 36 months,A,Fully Paid
553701,RENT,95000,16000, 60 months,B,Fully Paid
553726,RENT,27408,14500, 60 months,D,Charged Off
553732,RENT,36000,10750, 60 months,C,Charged Off
553740,RENT,41000,5000, 36 months,B,Fully Paid
553760,RENT,50000,3000, 36 months,C,Fully Paid
553784,MORTGAGE,70000,4000, 36 months,B,Fully Paid
553786,MORTGAGE,45600,9500, 36 months,B,Fully Paid
553788,MORTGAGE,60000,7000, 36 months,C,Fully Paid
553796,MORTGAGE,94000,12000, 60 months,F,Fully Paid
553806,MORTGAGE,40200,7200, 36 months,A,Fully Paid
553809,RENT,160000,25000, 36 months,D,Fully Paid
553810,RENT,35000,11200, 36 months,B,Fully Paid
553811,RENT,53196,25000, 36 months,B,Fully Paid
553815,MORTGAGE,45000,7200, 36 months,B,Fully Paid
553823,RENT,24000,9600, 60 months,D,Fully Paid
553852,RENT,102000,25000, 60 months,D,Fully Paid
553854,RENT,30000,2000, 36 months,B,Fully Paid
553858,RENT,66996,4200, 36 months,D,Fully Paid
553867,RENT,55500,12000, 36 months,A,Fully Paid
553891,RENT,36000,6000, 36 months,C,Fully Paid
553893,RENT,50000,24000, 60 months,C,Fully Paid
553915,MORTGAGE,70000,10000, 36 months,B,Fully Paid
553920,RENT,27600,1000, 36 months,B,Fully Paid
553961,RENT,39600,6000, 36 months,D,Fully Paid
553985,RENT,39996,12000, 36 months,B,Fully Paid
553992,MORTGAGE,52500,9000, 36 months,A,Fully Paid
553994,MORTGAGE,70000,10000, 36 months,B,Fully Paid
554008,MORTGAGE,100000,25000, 36 months,C,Fully Paid
554024,RENT,58000,9275, 36 months,C,Fully Paid
554025,OWN,34000,11000, 36 months,C,Charged Off
554031,MORTGAGE,92000,15000, 36 months,B,Fully Paid
554043,OWN,204000,25000, 36 months,B,Fully Paid
554056,MORTGAGE,60000,2400, 36 months,C,Fully Paid
554057,RENT,82000,21600, 36 months,C,Fully Paid
554064,MORTGAGE,42348,8000, 36 months,A,Fully Paid
554084,RENT,30004,3800, 36 months,D,Fully Paid
554107,OWN,186000,3000, 36 months,A,Fully Paid
554117,MORTGAGE,49000,14000, 36 months,A,Fully Paid
554118,MORTGAGE,90000,1700, 36 months,B,Fully Paid
554119,RENT,56928,4800, 36 months,B,Fully Paid
554129,MORTGAGE,31000,10000, 36 months,B,Fully Paid
554139,MORTGAGE,92004,2500, 60 months,C,Fully Paid
554237,MORTGAGE,72000,25000, 36 months,B,Charged Off
554247,MORTGAGE,90996,16000, 36 months,A,Fully Paid
554253,RENT,60000,14000, 36 months,D,Fully Paid
554275,OWN,48000,18000, 60 months,D,Charged Off
554291,RENT,170000,25000, 36 months,D,Fully Paid
554300,MORTGAGE,100000,8000, 36 months,A,Fully Paid
554319,RENT,45806,12000, 36 months,D,Fully Paid
554342,MORTGAGE,48000,2100, 60 months,C,Charged Off
554362,RENT,46500,4600, 36 months,D,Fully Paid
554444,MORTGAGE,55400,14400, 60 months,B,Fully Paid
554466,MORTGAGE,125000,25000, 36 months,B,Fully Paid
554489,MORTGAGE,87000,4800, 36 months,D,Fully Paid
554515,MORTGAGE,59004,11000, 60 months,D,Fully Paid
554533,MORTGAGE,150000,7800, 36 months,B,Fully Paid
554536,MORTGAGE,44000,10400, 60 months,C,Fully Paid
554595,MORTGAGE,102000,17000, 60 months,B,Fully Paid
554615,RENT,57500,2525, 36 months,C,Fully Paid
554660,RENT,84500,25000, 36 months,F,Fully Paid
554674,OWN,115000,10000, 36 months,A,Fully Paid
554689,RENT,125000,8000, 36 months,D,Fully Paid
554725,OWN,44000,7500, 36 months,D,Fully Paid
554726,RENT,50000,8000, 36 months,C,Fully Paid
554733,MORTGAGE,150000,16000, 60 months,B,Fully Paid
554736,RENT,33280,5500, 36 months,B,Fully Paid
554739,RENT,46800,5000, 36 months,A,Fully Paid
554746,RENT,30000,6000, 36 months,A,Fully Paid
554767,RENT,41004,9000, 60 months,D,Charged Off
554768,MORTGAGE,48000,8000, 36 months,D,Fully Paid
554783,RENT,56400,19600, 60 months,E,Charged Off
554790,RENT,106000,15000, 36 months,B,Fully Paid
554798,RENT,72996,5500, 36 months,B,Fully Paid
554813,RENT,42840,10000, 60 months,C,Fully Paid
554815,RENT,31000,5000, 36 months,C,Fully Paid
554824,RENT,72000,6000, 36 months,B,Fully Paid
554839,RENT,42000,10000, 60 months,C,Fully Paid
554888,RENT,92000,14000, 60 months,D,Fully Paid
554889,MORTGAGE,72000,15000, 36 months,B,Fully Paid
554909,MORTGAGE,140000,12000, 36 months,A,Fully Paid
554910,MORTGAGE,12000,6000, 60 months,A,Charged Off
554912,RENT,60000,17000, 60 months,B,Fully Paid
554924,RENT,50000,18000, 36 months,C,Fully Paid
554925,MORTGAGE,60000,13500, 36 months,A,Fully Paid
554929,MORTGAGE,102000,25000, 60 months,B,Charged Off
554959,MORTGAGE,93000,4800, 60 months,B,Fully Paid
554993,RENT,58000,17475, 36 months,A,Fully Paid
554994,MORTGAGE,72000,8500, 60 months,B,Fully Paid
555005,RENT,52000,19000, 36 months,B,Fully Paid
555010,MORTGAGE,30000,2000, 60 months,E,Fully Paid
555021,OWN,91000,15000, 36 months,A,Fully Paid
555040,MORTGAGE,72000,8500, 60 months,B,Fully Paid
555047,RENT,60000,9000, 36 months,C,Fully Paid
555060,MORTGAGE,50004,7200, 36 months,D,Fully Paid
555062,MORTGAGE,104149,15250, 60 months,D,Fully Paid
555064,RENT,45000,13000, 60 months,E,Fully Paid
555069,RENT,23004,6250, 36 months,B,Fully Paid
555078,MORTGAGE,36000,4000, 36 months,A,Fully Paid
555085,RENT,41000,11000, 60 months,B,Fully Paid
555109,MORTGAGE,48600,6000, 36 months,B,Fully Paid
555123,MORTGAGE,47000,5000, 36 months,B,Fully Paid
555137,RENT,70000,6000, 60 months,C,Fully Paid
555139,RENT,24000,10000, 36 months,B,Fully Paid
555181,MORTGAGE,84880,4200, 60 months,C,Fully Paid
555191,OWN,35000,11000, 36 months,A,Fully Paid
555219,MORTGAGE,40000,11000, 60 months,D,Charged Off
555232,RENT,32000,7000, 60 months,D,Charged Off
555237,RENT,44000,10000, 60 months,E,Charged Off
555263,RENT,54000,2500, 36 months,C,Fully Paid
555295,MORTGAGE,125000,5000, 60 months,C,Fully Paid
555319,MORTGAGE,60000,7000, 36 months,A,Fully Paid
555364,RENT,50000,10000, 36 months,C,Fully Paid
555383,MORTGAGE,56898,10000, 60 months,D,Charged Off
555452,RENT,32760,5000, 36 months,D,Fully Paid
555478,RENT,65000,21250, 36 months,D,Fully Paid
555496,RENT,36000,7500, 60 months,F,Fully Paid
555522,MORTGAGE,64000,14000, 36 months,C,Fully Paid
555528,MORTGAGE,81600,13000, 36 months,C,Fully Paid
555531,MORTGAGE,55704,8400, 36 months,A,Fully Paid
555546,RENT,34800,2100, 36 months,C,Fully Paid
555575,RENT,30000,5000, 36 months,B,Fully Paid
555592,RENT,38500,12000, 36 months,B,Fully Paid
555607,RENT,54996,6000, 36 months,B,Fully Paid
555638,MORTGAGE,110000,20000, 36 months,A,Fully Paid
555643,RENT,24000,3000, 60 months,B,Fully Paid
555650,MORTGAGE,96000,15000, 36 months,A,Fully Paid
555691,MORTGAGE,66000,8500, 36 months,A,Fully Paid
555715,RENT,40000,6000, 36 months,A,Fully Paid
555728,MORTGAGE,78000,5000, 60 months,B,Fully Paid
555763,RENT,53004,10000, 60 months,E,Fully Paid
555774,RENT,52800,2100, 36 months,A,Fully Paid
555777,MORTGAGE,54000,1000, 60 months,A,Fully Paid
555809,RENT,74600,1500, 36 months,C,Fully Paid
555813,RENT,96500,8000, 36 months,C,Fully Paid
555821,RENT,48255,2000, 36 months,A,Fully Paid
555859,MORTGAGE,39996,10800, 60 months,E,Fully Paid
555865,MORTGAGE,57600,6000, 60 months,B,Fully Paid
555867,RENT,47500,5200, 60 months,C,Fully Paid
555869,RENT,48000,3000, 60 months,B,Fully Paid
555894,MORTGAGE,50000,8000, 36 months,C,Fully Paid
555915,RENT,21600,5500, 36 months,C,Fully Paid
555949,MORTGAGE,60000,18200, 60 months,C,Fully Paid
555950,RENT,29120,4000, 36 months,B,Fully Paid
555960,RENT,74400,5000, 60 months,B,Fully Paid
555987,MORTGAGE,168000,15750, 36 months,B,Fully Paid
555995,MORTGAGE,66840,24250, 60 months,E,Charged Off
556006,OWN,56600,12000, 36 months,B,Charged Off
556014,MORTGAGE,65000,13000, 36 months,C,Fully Paid
556016,RENT,52000,6600, 36 months,A,Fully Paid
556021,RENT,124800,10875, 36 months,A,Fully Paid
556043,RENT,14500,3600, 36 months,C,Fully Paid
556079,MORTGAGE,72000,15250, 60 months,D,Fully Paid
556114,RENT,68000,7500, 36 months,B,Fully Paid
556123,MORTGAGE,129996,10000, 60 months,D,Fully Paid
556126,MORTGAGE,111549,25000, 60 months,E,Fully Paid
556140,RENT,72000,15000, 60 months,C,Fully Paid
556159,RENT,52392,4000, 36 months,D,Charged Off
556169,RENT,37000,11500, 60 months,D,Fully Paid
556179,MORTGAGE,157000,8000, 60 months,D,Fully Paid
556207,OWN,50000,1500, 36 months,B,Fully Paid
556232,MORTGAGE,85200,9000, 60 months,D,Charged Off
556238,RENT,48000,17000, 36 months,A,Fully Paid
556249,RENT,55000,17000, 36 months,A,Fully Paid
556268,RENT,26880,6000, 36 months,D,Fully Paid
556322,RENT,19200,4000, 60 months,D,Fully Paid
556330,RENT,26000,4000, 60 months,B,Fully Paid
556346,MORTGAGE,48000,10000, 60 months,B,Fully Paid
556350,RENT,62500,8500, 36 months,A,Fully Paid
556362,MORTGAGE,50000,4000, 36 months,A,Fully Paid
556368,MORTGAGE,48000,9600, 36 months,B,Fully Paid
556372,MORTGAGE,78000,25000, 36 months,D,Fully Paid
556374,RENT,68250,24000, 36 months,E,Charged Off
556376,MORTGAGE,120000,8000, 36 months,A,Fully Paid
556413,RENT,34000,2000, 36 months,C,Fully Paid
556416,RENT,37000,6000, 36 months,A,Fully Paid
556446,MORTGAGE,85100,4500, 36 months,A,Fully Paid
556466,RENT,58000,16000, 60 months,D,Fully Paid
556468,RENT,34000,7500, 36 months,A,Fully Paid
556502,MORTGAGE,99600,5000, 36 months,B,Fully Paid
556565,RENT,42000,2000, 36 months,C,Fully Paid
556567,RENT,45000,8700, 36 months,A,Fully Paid
556570,RENT,45000,10000, 36 months,A,Fully Paid
556631,MORTGAGE,172000,12000, 36 months,B,Fully Paid
556644,RENT,35364,10000, 36 months,B,Fully Paid
556649,MORTGAGE,100100,25000, 60 months,E,Fully Paid
556720,RENT,44000,10000, 36 months,D,Fully Paid
556727,MORTGAGE,47000,18000, 60 months,B,Charged Off
556731,RENT,73000,4000, 36 months,B,Fully Paid
556763,RENT,93600,25000, 36 months,D,Fully Paid
556787,RENT,24468,8500, 60 months,E,Charged Off
556801,MORTGAGE,42000,6400, 36 months,A,Fully Paid
556806,MORTGAGE,85000,8000, 36 months,B,Fully Paid
556822,MORTGAGE,27996,3250, 36 months,D,Fully Paid
556823,OWN,30000,7000, 36 months,C,Fully Paid
556844,RENT,148716,24250, 36 months,C,Fully Paid
556851,OWN,36960,15000, 36 months,C,Fully Paid
556873,MORTGAGE,66000,15000, 36 months,C,Fully Paid
556885,MORTGAGE,91000,15000, 36 months,B,Fully Paid
556893,MORTGAGE,27000,7000, 60 months,D,Fully Paid
556908,RENT,62400,7000, 36 months,B,Charged Off
556944,RENT,33600,1500, 36 months,F,Fully Paid
557003,MORTGAGE,80000,14500, 36 months,B,Fully Paid
557061,RENT,80000,2800, 36 months,D,Charged Off
557065,RENT,45227,15000, 60 months,C,Fully Paid
557103,MORTGAGE,21408,1500, 36 months,B,Fully Paid
557104,RENT,145000,25000, 36 months,B,Fully Paid
557115,MORTGAGE,70000,21000, 60 months,E,Fully Paid
557145,MORTGAGE,36396,5500, 36 months,B,Fully Paid
557170,RENT,36320,10000, 60 months,C,Fully Paid
557187,RENT,24000,5500, 60 months,E,Fully Paid
557197,RENT,34000,9600, 36 months,A,Fully Paid
557199,OWN,24166,4000, 60 months,A,Fully Paid
557202,MORTGAGE,35004,7400, 36 months,E,Charged Off
557206,MORTGAGE,80000,12000, 60 months,B,Fully Paid
557218,MORTGAGE,66800,9600, 36 months,A,Fully Paid
557245,RENT,19820,4000, 36 months,B,Fully Paid
557249,RENT,50000,20000, 60 months,D,Fully Paid
557250,MORTGAGE,78000,7000, 60 months,C,Fully Paid
557251,RENT,38352,5000, 36 months,D,Fully Paid
557280,MORTGAGE,118200,6500, 60 months,A,Fully Paid
557296,MORTGAGE,33600,6000, 36 months,B,Fully Paid
557326,OWN,38000,13750, 36 months,D,Fully Paid
557395,OWN,41604,14400, 36 months,B,Fully Paid
557401,MORTGAGE,189000,5125, 36 months,D,Fully Paid
557423,RENT,32004,6000, 36 months,D,Fully Paid
557436,MORTGAGE,50000,16000, 36 months,B,Fully Paid
557465,MORTGAGE,50004,9250, 60 months,E,Fully Paid
557487,RENT,36500,5600, 60 months,C,Fully Paid
557491,RENT,71760,15500, 36 months,A,Fully Paid
557517,MORTGAGE,135000,21000, 36 months,B,Fully Paid
557528,RENT,50000,2800, 36 months,B,Fully Paid
557530,RENT,38052,3000, 36 months,B,Fully Paid
557549,MORTGAGE,96504,5000, 60 months,D,Fully Paid
557551,RENT,23658,9200, 60 months,E,Fully Paid
557556,RENT,97000,25000, 36 months,F,Fully Paid
557572,MORTGAGE,109000,20000, 36 months,B,Fully Paid
557573,MORTGAGE,95111,18000, 36 months,C,Fully Paid
557576,MORTGAGE,49032,2400, 36 months,B,Fully Paid
557584,MORTGAGE,67000,8800, 36 months,A,Fully Paid
557601,MORTGAGE,90000,24000, 60 months,C,Fully Paid
557617,MORTGAGE,85000,5000, 36 months,C,Fully Paid
557619,RENT,28416,4600, 36 months,A,Fully Paid
557621,RENT,30000,10000, 36 months,C,Fully Paid
557622,RENT,63211,6500, 36 months,B,Fully Paid
557635,OWN,40000,24250, 60 months,B,Fully Paid
557642,MORTGAGE,60000,9500, 60 months,B,Fully Paid
557649,RENT,42500,12000, 60 months,B,Fully Paid
557671,RENT,41316,7200, 36 months,D,Fully Paid
557673,MORTGAGE,60000,14000, 36 months,A,Fully Paid
557688,RENT,15120,3050, 36 months,B,Fully Paid
557691,MORTGAGE,90000,5000, 60 months,B,Charged Off
557692,RENT,31200,6400, 36 months,B,Fully Paid
557698,MORTGAGE,137496,25000, 60 months,F,Fully Paid
557700,RENT,43080,10000, 36 months,C,Fully Paid
557710,MORTGAGE,72000,18800, 60 months,F,Charged Off
557721,MORTGAGE,106000,15000, 36 months,A,Fully Paid
